age,mass,Lbol,teff,logg,radius
0.0000,0.174,0.057,3520.,2.764,2.8700
0.0000,0.192,0.177,3597.,2.723,3.1557
0.0000,0.212,0.305,3689.,2.682,3.4793
0.0000,0.261,0.571,3882.,2.596,4.2631
0.0000,0.291,0.699,3963.,2.549,4.7453
0.0000,0.077,-0.843,3155.,3.116,1.2683
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.077,-0.843,3156.,3.116,1.2683
0.0000,0.060,-1.086,3109.,3.227,0.9878
0.0000,0.174,0.057,3521.,2.764,2.8700
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.077,-0.843,3156.,3.116,1.2683
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.063,-1.030,3118.,3.201,1.0466
0.0000,0.067,-0.973,3129.,3.175,1.1103
0.0000,0.070,-0.933,3136.,3.156,1.1572
0.0000,0.072,-0.900,3143.,3.141,1.1967
0.0000,0.073,-0.893,3145.,3.138,1.2056
0.0000,0.075,-0.866,3150.,3.126,1.2392
0.0000,0.076,-0.850,3154.,3.119,1.2589
0.0000,0.077,-0.834,3158.,3.112,1.2799
0.0000,0.077,-0.831,3158.,3.110,1.2834
0.0000,0.078,-0.825,3160.,3.108,1.2911
0.0000,0.078,-0.823,3160.,3.107,1.2930
0.0000,0.078,-0.818,3161.,3.105,1.2996
0.0000,0.079,-0.813,3163.,3.102,1.3069
0.0000,0.079,-0.807,3164.,3.100,1.3148
0.0000,0.080,-0.802,3165.,3.097,1.3215
0.0000,0.080,-0.796,3166.,3.095,1.3289
0.0000,0.081,-0.790,3168.,3.092,1.3370
0.0000,0.081,-0.785,3169.,3.090,1.3441
0.0000,0.082,-0.777,3171.,3.087,1.3540
0.0000,0.082,-0.769,3173.,3.083,1.3654
0.0000,0.083,-0.759,3176.,3.079,1.3783
0.0000,0.084,-0.749,3178.,3.074,1.3927
0.0000,0.085,-0.737,3181.,3.069,1.4094
0.0000,0.086,-0.724,3185.,3.064,1.4273
0.0000,0.087,-0.708,3189.,3.057,1.4490
0.0000,0.089,-0.691,3194.,3.049,1.4742
0.0000,0.091,-0.671,3200.,3.041,1.5037
0.0000,0.093,-0.647,3205.,3.031,1.5392
0.0000,0.095,-0.621,3211.,3.019,1.5817
0.0000,0.099,-0.588,3218.,3.005,1.6353
0.0000,0.103,-0.547,3230.,2.988,1.7009
0.0000,0.107,-0.498,3247.,2.968,1.7807
0.0000,0.113,-0.441,3269.,2.945,1.8764
0.0000,0.120,-0.376,3295.,2.920,1.9906
0.0000,0.129,-0.301,3330.,2.892,2.1254
0.0000,0.138,-0.215,3370.,2.859,2.2904
0.0000,0.150,-0.125,3415.,2.826,2.4752
0.0000,0.162,-0.031,3468.,2.794,2.6712
0.0000,0.192,0.177,3597.,2.723,3.1557
0.0000,0.212,0.306,3690.,2.682,3.4793
0.0000,0.261,0.571,3882.,2.596,4.2631
0.0000,0.291,0.699,3962.,2.549,4.7453
0.0000,0.060,-1.086,3109.,3.227,0.9878
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.174,0.057,3521.,2.764,2.8700
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.081,-0.790,3168.,3.092,1.3371
0.0000,0.085,-0.737,3182.,3.069,1.4094
0.0000,0.162,-0.031,3469.,2.794,2.6712
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.235,0.439,3788.,2.639,3.8477
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.093,-0.647,3205.,3.031,1.5392
0.0000,0.129,-0.300,3331.,2.892,2.1255
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.235,0.439,3788.,2.639,3.8478
0.0000,0.084,-0.749,3178.,3.074,1.3928
0.0000,0.084,-0.749,3179.,3.074,1.3928
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.235,0.439,3788.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2683
0.0000,0.084,-0.749,3179.,3.074,1.3928
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3788.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.063,-1.030,3119.,3.201,1.0467
0.0000,0.067,-0.973,3129.,3.175,1.1103
0.0000,0.070,-0.933,3137.,3.156,1.1572
0.0000,0.072,-0.900,3143.,3.141,1.1968
0.0000,0.073,-0.892,3145.,3.138,1.2056
0.0000,0.075,-0.865,3151.,3.126,1.2392
0.0000,0.076,-0.850,3154.,3.119,1.2589
0.0000,0.077,-0.833,3158.,3.112,1.2799
0.0000,0.077,-0.831,3159.,3.110,1.2834
0.0000,0.078,-0.825,3160.,3.108,1.2911
0.0000,0.078,-0.823,3160.,3.107,1.2930
0.0000,0.078,-0.818,3162.,3.105,1.2996
0.0000,0.079,-0.812,3163.,3.102,1.3069
0.0000,0.079,-0.806,3164.,3.100,1.3148
0.0000,0.080,-0.801,3166.,3.097,1.3215
0.0000,0.080,-0.796,3167.,3.095,1.3289
0.0000,0.081,-0.784,3170.,3.090,1.3441
0.0000,0.082,-0.777,3172.,3.087,1.3540
0.0000,0.082,-0.769,3174.,3.083,1.3654
0.0000,0.083,-0.759,3176.,3.079,1.3783
0.0000,0.086,-0.724,3185.,3.064,1.4274
0.0000,0.087,-0.708,3190.,3.057,1.4490
0.0000,0.089,-0.691,3195.,3.049,1.4743
0.0000,0.091,-0.670,3200.,3.041,1.5038
0.0000,0.095,-0.620,3211.,3.019,1.5818
0.0000,0.099,-0.587,3219.,3.004,1.6353
0.0000,0.103,-0.547,3231.,2.988,1.7010
0.0000,0.107,-0.498,3248.,2.968,1.7807
0.0000,0.113,-0.441,3269.,2.945,1.8764
0.0000,0.120,-0.376,3296.,2.920,1.9906
0.0000,0.138,-0.215,3371.,2.859,2.2905
0.0000,0.150,-0.124,3416.,2.826,2.4753
0.0000,0.192,0.177,3598.,2.723,3.1558
0.0000,0.212,0.306,3690.,2.682,3.4794
0.0000,0.261,0.570,3882.,2.596,4.2631
0.0000,0.291,0.699,3962.,2.549,4.7452
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3788.,2.639,3.8478
0.0000,0.084,-0.749,3179.,3.074,1.3928
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.174,0.058,3522.,2.764,2.8701
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.081,-0.790,3168.,3.092,1.3371
0.0000,0.085,-0.736,3182.,3.069,1.4095
0.0000,0.162,-0.031,3470.,2.794,2.6713
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.093,-0.647,3205.,3.031,1.5392
0.0000,0.129,-0.300,3331.,2.892,2.1255
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9878
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.084,-0.748,3179.,3.074,1.3928
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.080,-0.796,3167.,3.095,1.3289
0.0000,0.086,-0.723,3186.,3.064,1.4274
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.103,-0.546,3231.,2.988,1.7010
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.150,-0.123,3417.,2.826,2.4754
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.060,-1.085,3109.,3.227,0.9879
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.077,-0.842,3156.,3.116,1.2684
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
0.0000,0.235,0.439,3789.,2.639,3.8478
